idx,disyllable,vowels,V1,V2,prefix,infix,suffix,postV1
1,aa, a   a  ,a,a,,,,a
2,aba, a   a  ,a,a,,b,,ba
8,ada, a   a  ,a,a,,d,,da
9,adas, a   a  ,a,a,,d,s,das
13,aga, a   a  ,a,a,,g,,ga
14,agak, a   a  ,a,a,,g,k,gak
15,agar, a   a  ,a,a,,g,r,gar
22,aka, a   a  ,a,a,,k,,ka
23,aka, a   a  ,a,a,,k,,ka
24,akap, a   a  ,a,a,,k,p,kap
25,akar, a   a  ,a,a,,k,r,kar
26,akas, a   a  ,a,a,,k,s,kas
27,akat, a   a  ,a,a,,k,t,kat
39,ama, a   a  ,a,a,,m,,ma
40,ama, a   a  ,a,a,,m,,ma
41,amar, a   a  ,a,a,,m,r,mar
42,amas, a   a  ,a,a,,m,s,mas
48,ana, a   a  ,a,a,,n,,na
49,ana, a   a  ,a,a,,n,,na
52,apa, a   a  ,a,a,,p,,pa
53,apa, a   a  ,a,a,,p,,pa
61,ara, a   a  ,a,a,,r,,ra
62,arap, a   a  ,a,a,,r,p,rap
63,aras, a   a  ,a,a,,r,s,ras
64,arat, a   a  ,a,a,,r,t,rat
73,asa, a   a  ,a,a,,s,,sa
74,asa, a   a  ,a,a,,s,,sa
75,asa, a   a  ,a,a,,s,,sa
76,asan, a   a  ,a,a,,s,n,san
77,asar, a   a  ,a,a,,s,r,sar
89,ata, a   a  ,a,a,,t,,ta
90,ata, a   a  ,a,a,,t,,ta
91,atap, a   a  ,a,a,,t,p,tap
99,awa, a   a  ,a,a,,w,,wa
103,aya, a   a  ,a,a,,y,,ya
110,aza, a   a  ,a,a,,z,,za
111,azar, a   a  ,a,a,,z,r,zar
211,kada, a   a  ,a,a,k,d,,da
219,kagap, a   a  ,a,a,k,g,p,gap
220,kagar, a   a  ,a,a,k,g,r,gar
231,kaka, a   a  ,a,a,k,k,,ka
232,kakar, a   a  ,a,a,k,k,r,kar
233,kakar, a   a  ,a,a,k,k,r,kar
234,kakar, a   a  ,a,a,k,k,r,kar
254,kama, a   a  ,a,a,k,m,,ma
255,kama, a   a  ,a,a,k,m,,ma
267,kana, a   a  ,a,a,k,n,,na
268,kanap, a   a  ,a,a,k,n,p,nap
275,kapa, a   a  ,a,a,k,p,,pa
276,kapa, a   a  ,a,a,k,p,,pa
277,kapa, a   a  ,a,a,k,p,,pa
278,kapar, a   a  ,a,a,k,p,r,par
279,kapas, a   a  ,a,a,k,p,s,pas
294,kara, a   a  ,a,a,k,r,,ra
295,kara, a   a  ,a,a,k,r,,ra
296,kara, a   a  ,a,a,k,r,,ra
297,kara, a   a  ,a,a,k,r,,ra
298,kara, a   a  ,a,a,k,r,,ra
299,kara, a   a  ,a,a,k,r,,ra
300,karas, a   a  ,a,a,k,r,s,ras
310,kasa, a   a  ,a,a,k,s,,sa
311,kasa, a   a  ,a,a,k,s,,sa
312,kasa, a   a  ,a,a,k,s,,sa
321,kata, a   a  ,a,a,k,t,,ta
322,kata, a   a  ,a,a,k,t,,ta
323,kata, a   a  ,a,a,k,t,,ta
324,kata, a   a  ,a,a,k,t,,ta
325,kata, a   a  ,a,a,k,t,,ta
326,kata, a   a  ,a,a,k,t,,ta
327,kata, a   a  ,a,a,k,t,,ta
328,kata, a   a  ,a,a,k,t,,ta
329,kata, a   a  ,a,a,k,t,,ta
330,katap, a   a  ,a,a,k,t,p,tap
331,katar, a   a  ,a,a,k,t,r,tar
336,kawak, a   a  ,a,a,k,w,k,wak
338,kaya, a   a  ,a,a,k,y,,ya
339,kaya, a   a  ,a,a,k,y,,ya
345,kaza, a   a  ,a,a,k,z,,za
346,kazar, a   a  ,a,a,k,z,r,zar
347,kazas, a   a  ,a,a,k,z,s,zas
537,mabar, a   a  ,a,a,m,b,r,bar
541,maga, a   a  ,a,a,m,g,,ga
542,magap, a   a  ,a,a,m,g,p,gap
543,magar, a   a  ,a,a,m,g,r,gar
545,makar, a   a  ,a,a,m,k,r,kar
553,mama, a   a  ,a,a,m,m,,ma
558,mana, a   a  ,a,a,m,n,,na
559,mana, a   a  ,a,a,m,n,,na
560,mana, a   a  ,a,a,m,n,,na
565,mapar, a   a  ,a,a,m,p,r,par
569,mara, a   a  ,a,a,m,r,,ra
577,masar, a   a  ,a,a,m,s,r,sar
584,mata, a   a  ,a,a,m,t,,ta
585,mata, a   a  ,a,a,m,t,,ta
586,mata, a   a  ,a,a,m,t,,ta
596,maya, a   a  ,a,a,m,y,,ya
706,nabar, a   a  ,a,a,n,b,r,bar
712,nada, a   a  ,a,a,n,d,,da
713,nadas, a   a  ,a,a,n,d,s,das
718,naga, a   a  ,a,a,n,g,,ga
719,nagas, a   a  ,a,a,n,g,s,gas
727,naka, a   a  ,a,a,n,k,,ka
733,namar, a   a  ,a,a,n,m,r,mar
742,-nana, a   a  ,a,a,-n,n,,na
743,nana, a   a  ,a,a,n,n,,na
749,napa, a   a  ,a,a,n,p,,pa
750,napa, a   a  ,a,a,n,p,,pa
751,napa, a   a  ,a,a,n,p,,pa
758,nara, a   a  ,a,a,n,r,,ra
759,nara, a   a  ,a,a,n,r,,ra
760,narab, a   a  ,a,a,n,r,b,rab
761,naras, a   a  ,a,a,n,r,s,ras
762,naras, a   a  ,a,a,n,r,s,ras
771,nayam, a   a  ,a,a,n,y,m,yam
879,pada, a   a  ,a,a,p,d,,da
880,pada, a   a  ,a,a,p,d,,da
881,pagas, a   a  ,a,a,p,g,s,gas
883,paka, a   a  ,a,a,p,k,,ka
884,paka, a   a  ,a,a,p,k,,ka
885,pakar, a   a  ,a,a,p,k,r,kar
888,pama, a   a  ,a,a,p,m,,ma
890,pana, a   a  ,a,a,p,n,,na
891,pana, a   a  ,a,a,p,n,,na
892,panar, a   a  ,a,a,p,n,r,nar
893,panat, a   a  ,a,a,p,n,t,nat
897,papa, a   a  ,a,a,p,p,,pa
903,para, a   a  ,a,a,p,r,,ra
904,para, a   a  ,a,a,p,r,,ra
905,parap, a   a  ,a,a,p,r,p,rap
910,pasa, a   a  ,a,a,p,s,,sa
911,pasam, a   a  ,a,a,p,s,m,sam
918,pata, a   a  ,a,a,p,t,,ta
919,pata, a   a  ,a,a,p,t,,ta
920,pata, a   a  ,a,a,p,t,,ta
921,pata, a   a  ,a,a,p,t,,ta
922,pata, a   a  ,a,a,p,t,,ta
923,pata, a   a  ,a,a,p,t,,ta
924,patar, a   a  ,a,a,p,t,r,tar
925,patas, a   a  ,a,a,p,t,s,tas
930,paya, a   a  ,a,a,p,y,,ya
931,paya, a   a  ,a,a,p,y,,ya
932,payas, a   a  ,a,a,p,y,s,yas
1034,sada, a   a  ,a,a,s,d,,da
1035,sada, a   a  ,a,a,s,d,,da
1036,sada, a   a  ,a,a,s,d,,da
1037,sadam, a   a  ,a,a,s,d,m,dam
1041,sagar, a   a  ,a,a,s,g,r,gar
1044,saka, a   a  ,a,a,s,k,,ka
1045,saka, a   a  ,a,a,s,k,,ka
1046,saka, a   a  ,a,a,s,k,,ka
1047,saka, a   a  ,a,a,s,k,,ka
1048,saka, a   a  ,a,a,s,k,,ka
1049,saka, a   a  ,a,a,s,k,,ka
1050,saka, a   a  ,a,a,s,k,,ka
1051,sakap, a   a  ,a,a,s,k,p,kap
1052,sakar, a   a  ,a,a,s,k,r,kar
1053,sakar, a   a  ,a,a,s,k,r,kar
1070,sama, a   a  ,a,a,s,m,,ma
1071,samas, a   a  ,a,a,s,m,s,mas
1077,sana, a   a  ,a,a,s,n,,na
1084,sapa, a   a  ,a,a,s,p,,pa
1085,sapa, a   a  ,a,a,s,p,,pa
1086,sapa, a   a  ,a,a,s,p,,pa
1087,sapar, a   a  ,a,a,s,p,r,par
1093,sara, a   a  ,a,a,s,r,,ra
1094,sarap, a   a  ,a,a,s,r,p,rap
1095,saras, a   a  ,a,a,s,r,s,ras
1097,sasa, a   a  ,a,a,s,s,,sa
1098,sasa, a   a  ,a,a,s,s,,sa
1099,sasa, a   a  ,a,a,s,s,,sa
1100,sasak, a   a  ,a,a,s,s,k,sak
1101,sasap, a   a  ,a,a,s,s,p,sap
1110,sawag, a   a  ,a,a,s,w,g,wag
1111,sawak, a   a  ,a,a,s,w,k,wak
1114,saya, a   a  ,a,a,s,y,,ya
1115,saya, a   a  ,a,a,s,y,,ya
1116,saya, a   a  ,a,a,s,y,,ya
1117,saya, a   a  ,a,a,s,y,,ya
1118,sayag, a   a  ,a,a,s,y,g,yag
1119,sayak, a   a  ,a,a,s,y,k,yak
1120,sayar, a   a  ,a,a,s,y,r,yar
1124,sazak, a   a  ,a,a,s,z,k,zak
1280,tabar, a   a  ,a,a,t,b,r,bar
1285,tada, a   a  ,a,a,t,d,,da
1286,tada, a   a  ,a,a,t,d,,da
1287,tadak, a   a  ,a,a,t,d,k,dak
1293,tagap, a   a  ,a,a,t,g,p,gap
1300,taka, a   a  ,a,a,t,k,,ka
1301,taka, a   a  ,a,a,t,k,,ka
1302,taka, a   a  ,a,a,t,k,,ka
1303,taka, a   a  ,a,a,t,k,,ka
1304,takar, a   a  ,a,a,t,k,r,kar
1313,tama, a   a  ,a,a,t,m,,ma
1314,tama, a   a  ,a,a,t,m,,ma
1315,tama, a   a  ,a,a,t,m,,ma
1316,tamap, a   a  ,a,a,t,m,p,map
1317,tamar, a   a  ,a,a,t,m,r,mar
1323,tana, a   a  ,a,a,t,n,,na
1324,tana, a   a  ,a,a,t,n,,na
1328,tapa, a   a  ,a,a,t,p,,pa
1334,tarap, a   a  ,a,a,t,r,p,rap
1340,tata, a   a  ,a,a,t,t,,ta
1341,tata, a   a  ,a,a,t,t,,ta
1342,tatak, a   a  ,a,a,t,t,k,tak
1351,tawa, a   a  ,a,a,t,w,,wa
1352,tawam, a   a  ,a,a,t,w,m,wam
1566,wada, a   a  ,a,a,w,d,,da
1567,waka, a   a  ,a,a,w,k,,ka
1568,waka, a   a  ,a,a,w,k,,ka
1569,wakas, a   a  ,a,a,w,k,s,kas
1574,wana, a   a  ,a,a,w,n,,na
1577,wara, a   a  ,a,a,w,r,,ra
1581,wasa, a   a  ,a,a,w,s,,sa
1587,wata, a   a  ,a,a,w,t,,ta
1588,wata, a   a  ,a,a,w,t,,ta
1589,wata, a   a  ,a,a,w,t,,ta
1590,watar, a   a  ,a,a,w,t,r,tar
1591,watas, a   a  ,a,a,w,t,s,tas
1592,waya, a   a  ,a,a,w,y,,ya
1593,waza, a   a  ,a,a,w,z,,za
1640,yama, a   a  ,a,a,y,m,,ma
1643,yana, a   a  ,a,a,y,n,,na
1646,yapas, a   a  ,a,a,y,p,s,pas
1649,yara, a   a  ,a,a,y,r,,ra
1650,yara, a   a  ,a,a,y,r,,ra
1656,yata, a   a  ,a,a,y,t,,ta
1658,yaya, a   a  ,a,a,y,y,,ya
3,abe, a   e  ,a,e,,b,,be
4,abe, a   e  ,a,e,,b,,be
16,age, a   e  ,a,e,,g,,ge
17,age, a   e  ,a,e,,g,,ge
28,ake, a   e  ,a,e,,k,,ke
29,ake, a   e  ,a,e,,k,,ke
30,ake, a   e  ,a,e,,k,,ke
31,ake, a   e  ,a,e,,k,,ke
