idx,disyllable,id,V1,V2,count
1,isi,l051130,i,i,31
2,ame,l050001a,a,e,226
6,papa,l051720,a,a,82
8,moro,l007011,o,o,11
10,kore,l042031,o,e,15
12,noti,l004087,o,i,86
13,mata,l004022,a,a,72
14,atu,l007041,a,u,6
16,otor,l030360a,o,o,1
17,opo,l007009b,o,o,57
19,saka,l090152,a,a,2
20,tune,l004004,u,e,85
21,mara,l004072b,a,a,1
22,ima,l004025,i,a,198
23,nusi,l050024,u,i,9
25,goto,l007004a,o,o,90
26,kata,l050111,a,a,24
27,tumi,l090401,u,i,2
30,nori,l090272,o,i,2
31,pemi,l051744,e,i,1
33,woba,l000536,wo,a,36
36,sodar,l030969a,o,a,1
37,mare,l004072a,a,e,1
38,goto,l007004b,o,o,53
39,sini,l030883b,i,i,4
42,odu,l030357a,o,u,1
43,weri,l031936a,e,i,2
44,ika,l042002,i,a,85
46,saki,l050116,a,i,13
47,tada,l004003b,a,a,52
54,wome,l080131,wo,e,2
55,simo,l051946,i,o,67
56,oto,l080001,o,o,4
57,pimye,l050137,i,ye,9
60,sida,l051925,i,a,10
64,kaze,l050008a,a,e,198
65,soki,l030962a,o,i,4
70,ama,l050001b,a,a,279
73,kura,l090111,u,a,3
78,take,l090316,a,e,13
81,satu,l051899,a,u,12
88,situ,l080358,i,u,1
91,wepi,l031930a,e,i,7
92,aze,l090477,a,e,2
93,matu,l050158,a,u,95
94,yupu,l080043,u,u,31
95,miyu,l000513,i,u,35
96,sima,l050078,i,a,155
98,tomi,l080124,o,i,5
103,gomwi,l030741a,o,wi,1
104,murwo,l051544,u,wo,12
105,sapa,l004032b,a,a,29
106,kume,l051335,u,e,13
107,kubu,l051324,u,u,4
108,siro,l051970,i,o,4
109,miya,l050018,i,a,162
110,yupu,l050087,u,u,158
117,tukwi,l052522a,u,wi,10
118,potu,l051816,o,u,12
120,naka,l050069,a,a,107
121,sidu,l080147,i,u,13
122,pina,l050089,i,a,34
123,ura,l050022b,u,a,10
125,midu,l080205,i,u,13
126,uki,l090801,u,i,1
128,iti,l051137,i,i,6
131,toyo,l004134,o,o,13
132,siki,l030850b,i,i,33
133,pire,l051779,i,e,21
134,mana,l051405,a,a,4
136,nipa,l051615,i,a,47
138,saka,l050073b,a,a,15
139,rasi,l000806,a,i,190
140,omi,l051665,o,i,9
143,ita,l051136,i,a,11
144,ase,l080054,a,e,4
145,woto,l042085b,wo,o,5
146,sumi,l090257,u,i,2
147,yura,l007220,u,a,2
148,siba,l051919,i,a,20
149,sipo,l050170,i,o,84
150,wori,l031960b,wo,i,3
151,sibi,l051920,i,i,9
152,kire,l030609a,i,e,1
153,moto,l002035,o,o,6
154,moto,l051520,o,o,71
155,ura,l050109,u,a,38
157,nute,l051648,u,e,2
158,asu,l050864,a,u,53
161,kamu,l050005b,a,u,82
162,ise,l051129,i,e,15
164,tata,l052109b,a,a,3
166,kapi,l030510b,a,i,4
167,tomo,l050968,o,o,35
168,suke,l030925a,u,e,2
170,domo,l001002,o,o,35
171,tare,l042001,a,e,55
173,nado,l042078a,a,o,4
174,asi,l052471,a,i,59
175,suga,l050010b,u,a,41
176,saya,l004030,a,a,1
177,kwosi,l052562,wo,i,20
178,ari,l000026,a,i,44
181,nuye,l050179,u,ye,8
182,kakye,l051184,a,ye,8
183,uti,l000043,u,i,99
184,yame,l031819a,a,e,4
185,sawi,l051903,a,wi,5
186,piru,l051781,i,u,26
187,towi,l032070a,o,wi,4
188,ono,l042074,o,o,32
189,sise,l030861a,i,e,3
191,mapye,l050052,a,ye,13
192,sapa,l050062,a,a,12
193,bari,l031456b,a,i,4
194,iku,l042091,i,u,20
195,towo,l002010,o,wo,2
196,kagu,l060024,a,u,15
197,kama,l090083,a,a,2
198,kubi,l090115,u,i,1
199,are,l042083,a,e,52
200,suswo,l050079,u,wo,37
203,tosi,l050124,o,i,161
204,ube,l004029a,u,e,31
205,wotu,l052369,wo,u,1
207,kinu,l051269,i,u,9
208,awa,l052555,a,a,19
210,mune,l050131a,u,e,15
211,sasi,l090176,a,i,19
212,mwomwo,l051555,wo,wo,2
213,mata,l007227,a,a,5
216,kasi,l090022,a,i,11
217,uzu,l052297,u,u,5
219,ina,l090045b,i,a,4
222,kosi,l051308,o,i,17
225,iza,l051153,i,a,33
226,agi,l080025,a,i,3
228,kami,l052531,a,i,2
229,poki,l031580b,o,i,4
231,asa,l030037a,a,a,3
232,sasa,l090170,a,a,4
234,kyesi,l030678b,ye,i,5
235,muna,l050131b,u,a,10
238,swoni,l051992,wo,i,1
239,siru,l051971,i,u,1
240,sime,l030904b,i,e,1
241,mura,l004060,u,a,34
242,pike,l031476a,i,e,2
243,una,l050106,u,a,1
247,usu,l052559,u,u,8
248,uta,l080159,u,a,2
249,kadu,l051164,a,u,3
252,twoki,l031198a,wo,i,1
254,nami,l031304b,a,i,13
255,sipi,l090229,i,i,5
256,pisi,l051785,i,i,4
257,wani,l052312,a,i,1
258,patu,l051736,a,u,29
259,pada,l051696,a,a,12
260,pani,l051717,a,i,2
262,kabu,l051159,a,u,1
263,ate,l030050a,a,e,1
264,maywo,l051436,a,wo,12
265,gaki,l030440b,a,i,4
267,kaku,l042020,a,u,187
269,ike,l080321,i,e,37
271,uti,l030267b,u,i,3
272,woko,l052342,wo,o,1
275,puyu,l090791,u,u,1
276,puyu,l051846,u,u,33
277,maro,l004263,a,o,2
278,kaki,l000031,a,i,22
279,aya,l050881,a,a,6
280,taku,l052070,a,u,8
281,udi,l052236,u,i,22
282,sawo,l051904,a,wo,9
285,soko,l042043,o,o,35
286,koko,l042032,o,o,51
288,kibwi,l051263,i,wi,4
289,tomo,l004008,o,o,16
290,nisi,l051623,i,i,7
291,nara,l092001,a,a,59
293,pasi,l007141,a,i,16
294,tana,l004058,a,a,4
296,ana,l050809,a,a,3
298,dani,l000502,a,i,101
299,kupa,l051339,u,a,4
300,yata,l052397,a,a,3
301,suge,l050010a,u,e,39
302,tane,l052091,a,e,6
303,gane,l090555,a,e,2
306,aka,l007016,a,a,56
307,sira,l007006a,i,a,220
308,uti,l052547,u,i,50
309,aso,l042090,a,o,7
310,mitu,l032048a,i,u,12
312,tupi,l004139,u,i,11
313,sipo,l050171,i,o,21
315,piku,l031475a,i,u,3
316,yura,l090167,u,a,5
317,pure,l032079a,u,e,2
318,nadu,l051562,a,u,2
320,saka,l090151,a,a,3
322,naki,l031267b,a,i,4
323,kozo,l090138,o,o,2
324,yasu,l007002,a,u,59
325,sasa,l051893,a,a,7
326,kayu,l030534a,a,u,1
328,kari,l030545b,a,i,10
329,kana,l051198b,a,a,9
330,kage,l050011a,a,e,72
331,suzu,l052037,u,u,10
332,satwo,l050051,a,wo,117
333,yume,l004011a,u,e,37
334,karu,l051229,a,u,11
335,ita,l090049,i,a,14
336,pasa,l051726,a,a,2
337,patwo,l051738,a,wo,2
338,tadu,l052059,a,u,50
339,puna,l050007b,u,a,66
340,natu,l051598,a,u,47
341,kaki,l052540,a,i,1
343,tadu,l080133,a,u,3
345,sadam,l030813a,a,a,1
346,tuku,l052522b,u,u,2
347,uda,l052235,u,a,5
348,sigi,l051934,i,i,5
349,wana,l052311,a,a,3
350,soba,l051983,o,a,2
351,ee,l050997,e,e,1
352,aa,l050765,a,a,2
356,kumi,l030653b,u,i,5
357,kumi,l030654a,u,i,2
358,tasi,l052107,a,i,1
359,itu,l090023a,i,u,4
360,kupe,l051340,u,e,1
361,iri,l030219a,i,i,16
362,sisi,l090209,i,i,34
363,tape,l052528,a,e,117
366,amu,l050808,a,u,6
368,nige,l031324a,i,e,2
369,ari,l080267,a,i,2
370,pari,l050178,a,i,16
371,yeda,l052402,ye,a,29
372,woka,l052341,wo,a,48
373,suki,l030921b,u,i,1
374,suki,l030921a,u,i,1
375,sekwo,l050285,e,wo,120
378,soko,l051985,o,o,30
380,ura,l050108,u,a,164
381,sika,l042047,i,a,24
384,saya,l090188a,a,a,11
385,paru,l051724,a,u,250
387,aki,l050032,a,i,302
388,uma,l007021,u,a,23
389,miwa,l051490,i,a,17
390,made,l000512a,a,e,77
391,peswo,l051745,e,wo,1
395,niku,l007003,i,u,9
397,womi,l052345,wo,i,2
398,ama,l050163,a,a,72
399,wosi,l007229,wo,i,95
400,mine,l051470,i,e,24
401,are,l030137a,a,e,6
403,sama,l090187,a,a,11
404,tono,l050125,o,o,32
405,sikwi,l051941,i,wi,27
406,pazu,l051743,a,u,5
408,siga,l051930,i,a,12
410,wada,l052299,a,a,5
411,pira,l090269,i,a,4
412,puru,l007151,u,u,27
413,muke,l031725b,u,e,8
415,putwo,l007018,u,wo,13
418,namye,l090450,a,ye,3
419,tukwi,l052521,u,wi,6
420,sade,l051860,a,e,5
421,uti,l090040,u,i,2
423,ami,l060177,a,i,3
424,oku,l051660,o,u,36
426,sape,l030825b,a,e,3
427,akwi,l050804,a,wi,2
430,kake,l030443b,a,e,2
431,tami,l090360,a,i,3
432,kose,l051307,o,e,8
433,pumi,l090790,u,i,1
434,kame,l051189,a,e,2
435,une,l080341,u,e,1
436,tate,l090321a,a,e,3
437,tura,l090405,u,a,4
438,are,l090041,a,e,1
440,samu,l007159,a,u,61
443,wata,l052322,a,a,17
444,nusa,l051646,u,a,18
445,mitu,l051485,i,u,21
446,kwisi,l051372,wi,i,23
449,pata,l004024a,a,a,6
451,tomo,l080050,o,o,1
452,sumye,l052027,u,ye,7
453,tabi,l050050,a,i,25
454,poko,l051802,o,o,42
455,sapo,l051890,a,o,36
456,kori,l030751a,o,i,1
457,mane,l007231,a,e,20
458,itu,l042014,i,u,91
461,sugwi,l090693,u,wi,12
462,kyesa,l051389,ye,a,12
463,kata,l090031,a,a,68
464,ure,l050022a,u,e,22
465,ume,l052251,u,e,121
469,nare,l042056,a,e,12
470,tika,l007017,i,a,56
471,muta,l051550,u,a,17
472,wegu,l052332,e,u,2
473,pane,l050127,a,e,4
474,gare,l030548b,a,e,1
477,maywo,l090133,a,wo,6
478,sime,l090177,i,e,30
479,posi,l007237,o,i,33
480,taka,l060094,a,a,3
481,buki,l050929,u,i,17
482,noto,l051635,o,o,4
483,kozo,l051321,o,o,8
484,pisa,l090096,i,a,2
485,same,l050001c,a,e,29
486,apo,l050822,a,o,1
487,pasi,l080027,a,i,5
489,dwoti,l050971,wo,i,17
490,nobe,l031383a,o,e,3
491,puri,l031563a,u,i,17
492,mwina,l042080,wi,a,20
493,sakwi,l030782b,a,wi,1
494,momo,l051504,o,o,6
496,madu,l051393,a,u,8
497,mozu,l051522,o,u,2
499,siba,l007013,i,a,11
500,sono,l051993,o,o,22
501,pudi,l051820,u,i,29
504,subye,l051999,u,ye,113
505,siba,l080039,i,a,1
507,puru,l092023,u,u,12
510,sore,l042042,o,e,9
511,tumi,l090402,u,i,3
513,kara,l000508a,a,a,15
514,yamwi,l052387,a,wi,18
515,siko,l051938,i,o,12
516,bare,l031458b,a,e,1
517,napo,l004021,a,o,30
518,moda,l051501,o,a,9
519,sima,l080038,i,a,11
520,yoso,l052428,o,o,41
521,iro,l050105,i,o,78
522,tuyu,l052223,u,u,122
523,yasu,l052392,a,u,7
525,pikwo,l080298,i,wo,18
526,posi,l052545,o,i,21
527,tudu,l052180,u,u,4
528,pagwi,l050149,a,wi,142
529,woti,l042085a,wo,i,19
530,kadi,l051162,a,i,68
532,obi,l030375b,o,i,19
534,aka,l090447,a,a,2
535,yosi,l004168,o,i,26
536,tose,l052164,o,e,38
538,sari,l030841b,a,i,1
539,kai,l051176,a,i,7
540,tiri,l031111b,i,i,6
541,tada,l004003a,a,a,38
542,mane,l090097,a,e,1
543,yura,l004153b,u,a,3
544,ape,l030073a,a,e,19
547,sopo,l051994,o,o,5
549,sizi,l004033,i,i,26
550,soyo,l004118b,o,o,3
551,koma,l051292,o,a,10
552,toki,l031199b,o,i,6
554,sika,l050071,i,a,54
555,ada,l050773,a,a,3
556,wasa,l052316,a,a,5
557,api,l030071b,a,i,7
558,wase,l052319,a,e,3
559,kyeni,l004070,ye,i,26
560,koti,l050058,o,i,2
561,ake,l030022b,a,e,9
562,baka,l050899,a,a,3
563,wogwi,l052340,wo,wi,4
565,tutwo,l004141,u,wo,2
566,simi,l030903b,i,i,3
567,yanwo,l080063,a,wo,1
568,nasi,l080225,a,i,3
569,kukwi,l051331a,u,wi,5
570,kara,l051219,a,a,33
571,aga,l050789,a,a,2
572,gari,l001011,a,i,16
573,kura,l051342,u,a,6
574,maswo,l000064,a,wo,36
575,pide,l031489a,i,e,2
576,saki,l030778b,a,i,3
578,kare,l042019,a,e,3
580,pari,l031456a,a,i,3
581,ine,l090045a,i,e,4
582,sate,l042045,a,e,1
583,maki,l031618b,a,i,11
584,muki,l031724b,u,i,3
585,yori,l031887b,o,i,3
586,ture,l052208,u,e,12
587,yosi,l052527,o,i,56
589,kapwi,l051215,a,wi,3
590,busi,l031528b,u,i,1
592,awi,l050879,a,wi,4
593,pisa,l004102,i,a,20
594,mama,l051403,a,a,10
595,sana,l080012b,a,a,9
596,ana,l090051a,a,a,8
598,napa,l051590,a,a,15
599,koto,l090140,o,o,7
601,yupu,l080045,u,u,2
604,murwo,l051543,u,wo,2
605,kabe,l051158,a,e,2
607,iki,l090046,i,i,19
608,oya,l050136,o,a,23
609,moru,l031791a,o,u,1
610,kuse,l051357,u,e,4
611,waku,l007210,a,u,10
612,yokwi,l031862b,o,wi,1
613,yuta,l004051,u,a,5
614,kui,l030659b,u,i,3
615,kyesi,l007082,ye,i,4
616,ide,l080003,i,e,7
617,yuwe,l052452,u,e,19
618,kuse,l080167,u,e,1
619,saka,l090155,a,a,1
620,ura,l052488,u,a,18
622,pana,l050084,a,a,10
623,siki,l030852b,i,i,4
625,sara,l004027,a,a,12
626,muke,l031725a,u,e,13
627,tuma,l050122b,u,a,7
629,saka,l007014a,a,a,3
631,kazu,l050057,a,u,10
632,poka,l051801,o,a,5
635,koto,l090139,o,o,4
638,yuri,l004155,u,i,6
640,noki,l090561,o,i,1
641,piye,l051795,i,ye,2
642,sane,l080012a,a,e,3
643,tinu,l052134,i,u,8
644,wosi,l052524,wo,i,5
645,potwo,l051818,o,wo,8
646,koma,l090142,o,a,2
647,nuka,l050081,u,a,5
649,paya,l051739,a,a,3
650,tuge,l090105,u,e,6
653,puti,l051843,u,i,13
655,moro,l051512,o,o,10
656,koke,l051288,o,e,11
657,kipe,l050470,i,e,3
658,taka,l050013b,a,a,6
659,ami,l050065,a,i,9
